,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9697,3550021,1316609,G008838,01/05/2001 02:00:00 AM,059XX S SACRAMENTO AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,824,8.0,,,07,1157439.0,1865046.0,2001,08/17/2015 03:03:40 PM,41.785444105,-87.698300659,"(41.785444105, -87.698300659)"
9698,3550022,1316610,G007324,01/03/2001 03:00:00 PM,016XX S ALLPORT ST,0610,BURGLARY,FORCIBLE ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,1222,12.0,,,05,1168350.0,1891784.0,2001,08/17/2015 03:03:40 PM,41.858587821,-87.657524773,"(41.858587821, -87.657524773)"
9699,3550023,1316611,G006970,01/04/2001 09:44:33 AM,078XX S KINGSTON AV,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,421,4.0,,,14,1194588.0,1853525.0,2001,08/17/2015 03:03:40 PM,41.75299603,-87.562475724,"(41.75299603, -87.562475724)"
9700,3550024,1316614,G007339,01/04/2001 01:05:30 PM,076XX S KINGSTON AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,421,4.0,,,14,1194475.0,1854967.0,2001,08/17/2015 03:03:40 PM,41.756955767,-87.562842491,"(41.756955767, -87.562842491)"
9701,3550025,1316615,G007609,01/04/2001 03:25:10 PM,002XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,122,1.0,,,11,1176287.0,1901755.0,2001,08/17/2015 03:03:40 PM,41.885773731,-87.628090393,"(41.885773731, -87.628090393)"
9702,3550026,1316616,G008157,01/04/2001 07:05:00 PM,015XX W FARWELL AV,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,False,False,2431,24.0,,,04A,1164585.0,1945741.0,2001,08/17/2015 03:03:40 PM,42.006729375,-87.669811927,"(42.006729375, -87.669811927)"
9703,3550027,1316617,G007743,01/04/2001 08:00:00 AM,009XX S RACINE AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1213,12.0,,,05,1168564.0,1895868.0,2001,08/17/2015 03:03:40 PM,41.869790026,-87.656621091,"(41.869790026, -87.656621091)"
9704,3550028,1316621,G005968,01/03/2001 06:00:00 AM,024XX W DEVON AV,0810,THEFT,OVER $500,STREET,False,False,2412,24.0,,,06,1158907.0,1942452.0,2001,08/17/2015 03:03:40 PM,41.9978231,-87.69079298,"(41.9978231, -87.69079298)"
9705,3550029,1316622,G008848,01/03/2001 07:00:00 AM,061XX S PRAIRIE AV,0820,THEFT,$500 AND UNDER,STREET,False,False,311,3.0,,,06,1179130.0,1864457.0,2001,08/17/2015 03:03:40 PM,41.783360689,-87.618789776,"(41.783360689, -87.618789776)"
9706,3550030,1316624,G003536,01/02/2001 05:08:41 PM,011XX W ROOSEVELT RD,0560,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,False,False,1232,12.0,,,08A,1169171.0,1894828.0,2001,08/17/2015 03:03:40 PM,41.866923032,-87.654422827,"(41.866923032, -87.654422827)"
9707,3550031,1316625,G008348,01/04/2001 11:45:00 AM,010XX N ROCKWELL ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,True,1312,12.0,,,05,1158919.0,1906775.0,2001,08/17/2015 03:03:40 PM,41.899923018,-87.691731303,"(41.899923018, -87.691731303)"
9708,3550032,1316626,G007822,01/04/2001 04:30:00 PM,0000X E ROOSEVELT RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,132,1.0,,,11,1176808.0,1895113.0,2001,08/17/2015 03:03:40 PM,41.867535932,-87.626378097,"(41.867535932, -87.626378097)"
9709,3550033,1316627,G005139,01/03/2001 12:12:11 PM,019XX W CULLERTON ST,0460,BATTERY,SIMPLE,OTHER,False,False,1223,12.0,,,08B,1163797.0,1890382.0,2001,08/17/2015 03:03:40 PM,41.854837725,-87.674276699,"(41.854837725, -87.674276699)"
9710,3550034,1316629,G008377,01/04/2001 07:30:00 PM,024XX W TOUHY AV,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2411,24.0,,,06,1158879.0,1947756.0,2001,08/17/2015 03:03:40 PM,42.012378027,-87.690749538,"(42.012378027, -87.690749538)"
9711,3550035,1316631,G007088,01/04/2001 10:54:15 AM,0000X W SOUTH WATER MK,0460,BATTERY,SIMPLE,OTHER,False,False,1232,12.0,,,08B,1169672.0,1893130.0,2001,08/17/2015 03:03:40 PM,41.862252698,-87.65263303,"(41.862252698, -87.65263303)"
9712,3550036,1316633,G006730,01/04/2001 06:18:44 AM,015XX W WARREN BV,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,True,False,1333,12.0,,,26,1165979.0,1900396.0,2001,08/17/2015 03:03:40 PM,41.882270754,-87.665982088,"(41.882270754, -87.665982088)"
9713,3550037,1316634,G003542,01/02/2001 04:24:56 PM,011XX S HOMAN AV,1120,DECEPTIVE PRACTICE,FORGERY,BANK,True,False,1134,11.0,,,10,1153910.0,1895032.0,2001,08/17/2015 03:03:40 PM,41.867800357,-87.710442592,"(41.867800357, -87.710442592)"
9714,3550038,1316636,G008465,01/04/2001 09:20:00 PM,076XX S PHILLIPS AV,0460,BATTERY,SIMPLE,APARTMENT,True,True,421,4.0,,,08B,1193905.0,1854439.0,2001,08/17/2015 03:03:40 PM,41.755520883,-87.564948686,"(41.755520883, -87.564948686)"
9715,3550039,1316637,G005504,01/03/2001 03:30:00 PM,001XX N WELLS ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,113,1.0,,,11,1174739.0,1901656.0,2001,08/17/2015 03:03:40 PM,41.885536838,-87.633777871,"(41.885536838, -87.633777871)"
9716,3550040,1316638,G004992,01/03/2001 12:01:00 AM,044XX N KIMBALL AV,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,False,False,1723,17.0,,,07,1152871.0,1929604.0,2001,08/17/2015 03:03:40 PM,41.9626896,-87.713339458,"(41.9626896, -87.713339458)"
9717,3550041,1316639,G008613,01/04/2001 09:30:00 AM,010XX N HOYNE AV,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1312,12.0,,,05,1162176.0,1906862.0,2001,08/17/2015 03:03:40 PM,41.900094288,-87.679765854,"(41.900094288, -87.679765854)"
9718,3550042,1316640,G008207,01/04/2001 06:45:00 PM,014XX W DEVON AV,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,2432,24.0,,,06,1165344.0,1942648.0,2001,08/17/2015 03:03:40 PM,41.998225942,-87.667108005,"(41.998225942, -87.667108005)"
9719,3550043,1316641,G006333,01/03/2001 09:55:54 PM,019XX W WASHINGTON BV,0560,ASSAULT,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,False,True,1333,12.0,,,08A,1163693.0,1900750.0,2001,08/17/2015 03:03:40 PM,41.883290633,-87.674366292,"(41.883290633, -87.674366292)"
9720,3550044,1316642,G008857,01/05/2001 01:00:00 AM,082XX S HARPER AV,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,411,4.0,,,07,1187861.0,1850883.0,2001,08/17/2015 03:03:40 PM,41.74590888,-87.587211092,"(41.74590888, -87.587211092)"
9721,3550045,1316644,G007876,01/04/2001 04:40:00 PM,001XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,122,1.0,,,11,1176290.0,1901660.0,2001,08/17/2015 03:03:40 PM,41.885512978,-87.628082243,"(41.885512978, -87.628082243)"
9722,3550046,1316645,G007571,01/04/2001 02:52:51 PM,016XX W MADISON ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,1211,12.0,,,20,1165418.0,1900048.0,2001,08/17/2015 03:03:40 PM,41.881327767,-87.668051982,"(41.881327767, -87.668051982)"
9723,3550047,1316646,G007950,01/04/2001 05:26:50 PM,017XX W DIVISION ST,0460,BATTERY,SIMPLE,TAVERN/LIQUOR STORE,False,False,1322,12.0,,,08B,1164218.0,1907994.0,2001,08/17/2015 03:03:40 PM,41.903157645,-87.672233506,"(41.903157645, -87.672233506)"
